Sample_Name,60_20-50,005-organic_0-20,003-organic_20-50,004-organic_20-50,003-organic_0-20,004-organic_0-20,91_0-20,002-sand_0-20,95_0-20,51_0-20,005-organic_20-50,009-sand_20-50,99_0-20,61_20-50,60_0-20,51_20-50,16_0-20,4_0-20_3,55_0-20,95_20-50,001-sand_0-20,009-sand_0-20,003-organic_20-50,79_0-20,5_0-20,79_20-50,80_0-20,55_20-50,20_20-50,001-sand_20-50,80_20-50,91_20-50,16_20-50,24_0-20,4_0-20,24_20-50,60_0-20,002-sand_20-50,4_20-50,5_20-50,72_20-50,99_20-50,20_0-20,72_0-20,61_0-20
spectral_data.2464.42955642491,41.84385869,32.89306184,31.38224754,45.79904499,39.71749745,41.51559772,36.47221366,36.95787137,32.09707116,54.0292255,41.20542446,49.40535872,42.51699794,45.84957143,45.24113086,49.90730008,43.07493297,41.57932322,41.83038727,34.85919894,52.51924035,48.14787,43.98899574,29.90576781,43.64991327,41.54587834,40.24504273,52.36329077,40.6001209,46.82491077,47.11122267,44.48838367,45.66111555,45.36730224,43.41569338,48.63452926,40.29706558,46.74500409,37.65016142,40.02673353,47.76951658,42.16045499,34.95593197,45.14161871,46.05026127
spectral_data.2456.18732125368,42.21423116,33.20379834,31.71464422,46.23503669,40.1101563,41.85760914,36.85012997,37.29358132,32.41046149,54.39729116,41.54677973,49.77426934,42.89567853,46.24368722,45.59526161,50.32090788,43.49016026,41.98662032,42.18424319,35.28945705,52.84972759,48.46867919,44.35221183,30.22568343,44.01627266,41.96387059,40.63990036,52.68025208,40.95453707,47.17072128,47.5691541,44.92744147,46.08827846,45.75589562,43.83384953,49.05302319,40.62451152,47.15020713,38.07408391,40.42368306,48.08269701,42.63133261,35.28510767,45.45045816,46.41814054
spectral_data.2448.00003428936,42.59922422,33.51938799,32.05258039,46.67321612,40.51035361,42.20273122,37.23456124,37.63720625,32.72966865,54.76745177,41.89555523,50.14639933,43.28212937,46.64389835,45.95949999,50.74531512,43.91361443,42.40770041,42.54920882,35.73006338,53.18945906,48.79901095,44.72513625,30.55826232,44.3978989,42.39594134,41.05327551,53.01952774,41.33177889,47.54257236,48.00997194,45.35407701,46.50354977,46.13562147,44.24976528,49.46801446,40.95518922,47.55646917,38.49865084,40.82621798,48.40320978,43.11317712,35.62914171,45.77903586,46.80922639
spectral_data.2439.86714787568,43.0055182,33.83540142,32.39554538,47.1031222,40.9124098,42.54307718,37.62687513,37.98747507,33.05264312,55.14099406,42.24742931,50.53040962,43.67380634,47.05900887,46.32846741,51.1813589,44.34464976,42.83688546,42.91879596,36.18267908,53.53405741,49.13358023,45.10652307,30.89600895,44.79029605,42.84684276,41.48009173,53.3781092,41.72933761,47.94414698,48.44090825,45.77122035,46.9075849,46.49661635,44.65410196,49.87597583,41.27846717,47.96106962,38.92609236,41.23006398,48.73315498,43.6080663,35.97791431,46.11808069,47.21276428
spectral_data.2431.78812161009,43.43974467,34.15305519,32.74767164,47.52265578,41.31914634,42.87971367,38.03270765,38.34787522,33.38186015,55.52523297,42.60325956,50.93854969,44.07314416,47.49965942,46.7014266,51.63280948,44.78748788,43.27282516,43.28980468,36.65262435,53.88405044,49.47102898,45.49569007,31.23506981,45.19217162,43.32252089,41.91608376,53.75091984,42.14361225,48.37385815,48.88675826,46.19871404,47.31823489,46.84699723,45.05276851,50.28884423,41.5951337,48.37249881,39.36773718,41.63957013,49.07964007,44.12354428,36.32633374,46.45846132,47.61780091
spectral_data.2423.76242222406,43.89956467,34.47324652,33.11108677,47.93403632,41.73379174,43.21531883,38.45340693,38.71863315,33.71724019,55.92242052,42.96250631,51.37450339,44.47925301,47.96731788,47.07489342,52.09767648,45.24253509,43.71202722,43.65686523,37.14149449,54.23759274,49.80772679,45.88867122,31.57141012,45.59968822,43.82307086,42.35406386,54.12828595,42.56658446,48.82197151,49.37002447,46.65645429,47.75411489,47.19963216,45.45471188,50.72008235,41.90858033,48.80021893,39.83297884,42.05916976,49.44547684,44.66318147,36.67113639,46.79016074,48.01329821
spectral_data.2415.78952346575,44.368178,34.79051874,33.47961873,48.33606643,42.15162268,43.54609864,38.87944309,39.09016653,34.05039467,56.32150726,43.31716073,51.82499738,44.88137335,48.44720943,47.43688075,52.56222996,45.69941077,44.143331,44.00810519,37.6407454,54.5844758,50.13285782,46.27443344,31.89682797,46.00144735,44.33675318,42.78090791,54.49465417,42.98360613,49.27007575,49.8919661,47.14692294,48.21755462,47.55737337,45.85870865,51.16978305,42.21504552,49.24275567,40.31832752,42.48430628,49.82116476,45.2178261,37.00622848,47.10106516,48.38746336
spectral_data.2407.86890598498,44.8142414,35.08946978,33.83573947,48.71594948,42.55539291,43.85658029,39.28869353,39.44086908,34.36280145,56.69619448,43.64865917,52.25870566,45.25687636,48.90799639,47.76509628,53.00005744,46.13468636,44.54562932,44.32340806,38.12912332,54.9039873,50.42670342,46.63226112,32.19659665,46.3763476,44.83764698,43.17641922,54.82853182,43.37284919,49.69261765,50.4242621,47.64626225,48.68580287,47.90450331,46.24590357,51.61672482,42.49800084,49.68018404,40.80210139,42.89645942,50.18212104,45.76195094,37.3190239,47.37594342,48.72635242
spectral_data.2400.00005722046,45.20088766,35.34729226,34.15349335,49.04629192,42.91802102,44.12183252,39.65265147,39.74282396,34.63133102,57.01311189,43.93181656,52.63570942,45.57803817,49.31145363,48.03392978,53.38005679,46.51830718,44.89354154,44.58014269,38.5770277,55.17078435,50.6666912,46.93500702,32.45299819,46.69900892,45.29063669,43.5186876,55.10809369,43.71070379,50.06368961,50.91441188,48.10738079,49.1140944,48.20926685,46.583435,52.02156672,42.7318415,50.07520026,41.24798913,43.26652504,50.49465475,46.25904065,37.59230614,47.60054189,49.01674102
spectral_data.2392.18247128921,45.50781635,35.54676538,34.41299518,49.29755266,43.21825943,44.32219277,39.9541697,39.97895502,34.84342218,57.25316993,44.14952423,52.93243693,45.82990214,49.63622996,48.23117835,53.68556402,46.83236484,45.17323145,44.76710065,38.96381574,55.37090353,50.84201493,47.16320824,32.65641433,46.95541154,45.67124034,43.79731537,55.32320792,43.98508807,50.37081702,51.31933537,48.48942326,49.46367874,48.44537441,46.8462109,52.35185844,42.89917555,50.39448879,41.6271046,43.57312737,50.73656374,46.68386563,37.81472764,47.7704478,49.25367802
